20220928,chinese
LighthouseKeeperLighthouseOnOutsideA4,……沒了我，他們就會完全迷失方向！
LighthouseKeeperLighthouseOnOutsideB0,現在燈塔運作正常……
LighthouseKeeperLighthouseOnOutsideB1,……船隻自由進出、通行無阻！
LighthouseKeeperLighthouseOnOutsideB2,如果你需要出海……
LighthouseKeeperLighthouseOnOutsideB3,我肯定漁夫們會幫你一把！
LighthouseKeeperLighthouseOnOutsideC0,大家都以為管理燈塔是份好差事……
LighthouseKeeperLighthouseOnOutsideC1,但是燈熄滅了……
LighthouseKeeperLighthouseOnOutsideC2,……地庫又進不去……
LighthouseKeeperLighthouseOnOutsideC3,……總之……我積了很大壓力！
LighthouseKeeperLighthouseOnOutsideC4,我需要喝一杯，小睡片刻。
LighthouseKeeperCompleteA0,色調，你的媽媽回來了？
LighthouseKeeperCompleteA1,太好了！
LighthouseKeeperCompleteA2,很高興你能放下心頭大石。
LighthouseKeeperCompleteB0,我的媽媽過身很久了。
LighthouseKeeperCompleteB1,你能找回媽媽，我為你感到高興。
LighthouseKeeperCompleteB2,要好好珍惜這次重逢，色調。
LighthouseKeeperCompleteC0,先是攞平燈塔，然後找回媽媽……
LighthouseKeeperCompleteC1,……真是奇妙的一天！
LighthouseKeeperCompleteC2,希望這個好運氣會持續下去！
MinerIntroA0,哈囉～～～？
MinerIntroA1,是色調嗎？
MinerIntroA2,謝天謝地，我在這兒困了數天！
MinerIntroA3,幫幫忙救我出去！
MinerIntroA4,我一直聽到聲音，快要發瘋了！
MinerAquaA0,那些岩石……它們……
MinerAquaA1,它們……就那樣消失了？
MinerAquaA2,我不知你是怎樣做到的。
MinerAquaA3,但誰管它？我得救了！
MinerAquaA4,謝謝！
MinerHomeA0,噢，色調，我們又見面了！
MinerHomeA1,謝謝你救我出來！
MinerHomeA2,那洞穴真的令我嚇破了膽。
MinerHomeB0,真不知道當時還能撐多久。
MinerHomeB1,……被岩石攔住了路！
MinerHomeB2,進退維谷！
MinerHomeC0,那你是如何做到的，色調？
MinerHomeC1,我指，你就那樣……變走了岩石。
MinerHomeC2,是魔法嗎……難道是巫術？
MinerHomeD0,如果你能變走我的付款單……
MinerHomeD1,……那就巧同造化了！
MinerCompleteA0,嘿，色調！聽說你救出了媽媽？
MinerCompleteA1,還是媽媽救了你？
MinerCompleteA2,這一定是你的……
MinerCompleteA3,……神奇能力之一，嘩。
MinerCompleteB0,我告訴了你的媽媽，你如何救出我。
MinerCompleteB1,她為你感到驕傲！
MinerCompleteB2,所以，讓我請你喝一杯……
MinerCompleteB3,……呃，一杯果汁？
MinerCompleteC0,我掛靴了。再也不掘礦了。
MinerCompleteC1,反正我從沒掘到些甚麼……
MinerCompleteC2,……也許我可以去岸邊拾貝殼。
WaterLadyA0,噢，你好！
WaterLadyA1,你嚇倒我了……
WaterLadyA2,我？我在歇腳。
WaterLadyA3,小心別掉進水！
WaterLadyB0,我聽說瀑布後面有洞穴……
WaterLadyB1,……一洞又一洞，無窮無盡。
WaterLadyB2,不過我不會去找。
WaterLadyB3,因為太危險了！
WaterLadyC0,我有時會來這兒打水……
WaterLadyC1,……比井邊寫意多了。
WaterLadyC2,聽到這柔和的水聲嗎？
WaterLadyC3,我可以在聽一整天。
WaterLadyHomeA0,你好，色調。
WaterLadyHomeA1,很高興你跟你的媽媽平安再會！
WaterLadyHomeA2,說不定我們也會再次巧遇……
WaterLadyHomeA3,……那瀑布是個好地方，不是嗎？
WaterLadyHomeB0,上次在瀑布遇見你時，我完全沒想過……
WaterLadyHomeB1,……原來你正在進行大冒險！
WaterLadyHomeB2,太棒了！
WaterLadyHomeC0,我想請你喝一杯茶，但水不夠。
WaterLadyHomeC1,要去瀑布一趟。
WaterLadyHomeC2,改天吧……今天太忙了！
Skeleton1A0,喂，小心點！
Skeleton1B0,停！
Skeleton1C0,你真沒心沒肺！
Skeleton2A0,本骨懸若日月，不會動搖！
Skeleton2B0,夠了沒！
Skeleton2C0,我想下來……
Skeleton2C1,……但我沒那個膽！
Skeleton3A0,撏毛搗鬢對我不管用！
Skeleton3B0,你令我倒胃……
Skeleton3B1,只可惜我沒有胃。
JanitorA0,喂，你！
JanitorA1,這兒不准進入！
JanitorA2,大學現正關閉……
JanitorA3,爆水管！到處都是污水！
JanitorA4,走吧，這是為你好。
JanitorB0,我不會再說！
JanitorB1,大學現正關閉！
JanitorB2,快點離開！
JanitorC0,況且大學不是豆丁該來的地方吧？
JanitorC1,還是是我老了。
JanitorC2,好了快點消失，別要我發脾氣！
JanitorD0,求求你了小豆丁，我只是個清潔工。
JanitorD1,別令我難做好嗎，我只是打工的。
JanitorD2,走！走！
JanitorE0,好，既然你堅持不走，那就聽一個笑話吧？
JanitorE1,大學生首天上班，被派去清潔。他說，我是名大學生！
JanitorE2,清潔工聽了說，抱歉原來你是大學生。讓我教你掃地。
JanitorE3,嘻嘻嘻……
JanitorE4,聽完快滾！
FishermanVillageA0,嗨，岸居小孩你好！
FishermanVillageA1,我正在卸貨。
FishermanVillageA2,你說你要去大學？唔……
FishermanVillageA3,……我快將出海！
FishermanVillageA4,上船吧，我載你一程！
FishermanVillageB0,過不久就會起錨。
FishermanVillageB1,燈塔沒事實在是太好了……
FishermanVillageB2,……我之前一直都在打轉！
FishermanVillageB3,等你準備好，我們就出發！
FishermanVillageC0,是個適宜出海的好天！
FishermanVillageC1,進來一起乘風破浪吧！
FishermanMountainsA0,呼，風浪不小。
FishermanMountainsA1,不過你似乎沒暈船。
FishermanMountainsA2,大學就在山上……
FishermanMountainsA3,山腳那邊應該有䌫車。
FishermanMountainsA4,不然就只能攀岩了！
FishermanMountainsB0,往前走，就能看見大學的路牌。
FishermanMountainsB1,應該不用走很遠。
FishermanMountainsB2,我會留一陣子，你可以慢慢來。
FishermanMountainsC0,有點冷，對嗎？
FishermanMountainsC1,我的大衣不夠厚。
FishermanMountainsC2,那些海豹很聰明。
FishermanMountainsC3,天天吃魚吃得又圓又胖。
FishermanMountainsC4,被厚厚的脂肪包著一定很暖。
FishermanMountainsD0,聽說紅船跟藍船相撞……
FishermanMountainsD1,全體船員遇險！
FishermanCompleteA0,時候也不早了……呀，看誰來了！
FishermanCompleteA1,見到你們真好！
FishermanCompleteA2,我就相信你們能重逢。
FishermanCompleteA3,你們似乎都累了……我現在去開船。
FishermanCompleteA4,眨眼的功夫就能送你們回去。
FishermanCompleteVillageA0,嗨，岸居小孩你好！
FishermanCompleteVillageA1,看見你們就感到溫馨。
FishermanCompleteVillageA2,你們從上船睡到下船。
FishermanCompleteVillageA3,一定是累壞了！
FishermanCompleteVillageB0,去大學？完全沒問題！
FishermanCompleteVillageB1,是遺下了些甚麼嗎？
FishermanCompleteVillageB2,隨時都可以出發！
FishermanCompleteVillageC0,萬里無雲，最適合出海不過！
FishermanCompleteVillageC1,你可以隨時上船。
FishermanCompleteVillageC2,甲板需要有人去擦！
MumCompleteA0,早安，色調！
MumCompleteA1,回到家真好……
MumCompleteA2,……一切都歸回原位。
MumCompleteB0,當我們回來時……
MumCompleteB1,……大家都歡天喜地！
MumCompleteB2,我想，我忽略了大家……
MumCompleteB3,……太埋首於研究了。
MumCompleteC0,我不會再研究了……
MumCompleteC1,……起碼，暫時不會再研究。
MumCompleteC2,永不說永不……
MumCompleteC3,……即使今次真的很驚險！
RepairmanA0,嘩，孩子，你怎麼會在這兒？
RepairmanA1,山長水遠，你來幹甚麼？
RepairmanA2,我剛修好這發電機。
RepairmanA3,看，燈亮了！
RepairmanB0,我讀過書說有個遠古文明……
RepairmanB1,……在很久以前做了很多偉大的機器。
RepairmanB2,我是來親眼看看的。
RepairmanB3,果然很神奇！
RepairmanC0,很多很多電線……
RepairmanC1,……很多很多電力！
RepairmanC2,但要小心激光。
RepairmanC3,它們很危險！
RepairmanCompleteA0,唷，孩子，我們又見面了！
RepairmanCompleteA1,有找到更多機器嗎？
RepairmanCompleteA2,我見到激光就卻步了。
RepairmanCompleteA3,我不想被燒焦！
RepairmanCompleteB0,原來你經歷了一場大冒險？！
RepairmanCompleteB1,那些激光居然能避開……
RepairmanCompleteB2,……你很勇敢，這點不會錯！
RepairmanCompleteC0,找一天我們再去一趟……
RepairmanCompleteC1,我想看看你如何通過激光！
RepairmanCompleteC2,不過今天就免了……我才剛回來！
RepairmanCompleteC3,這幾天真瘋狂！
ShamanA0,哈嘿嘿嘿！尼咿為尼在去拿兒？
ShamanA1,甚甚甚麼？
ShamanA2,拿是誰？唔嗯。
ShamanB0,耶耶耶～～耶！絡絡絡石！死死！
ShamanB1,回去！回……回……回……
ShamanB2,誰誰誰？
ShamanC0,不不不。大大大圓圓圓圈圈圈！
ShamanC1,滿天滿地！啊啊！
ShamanC2,飛飛飛吧孩孩孩孩子……
LumberjackA0,嗨，小旅人。
LumberjackA1,你好像走了很遠……
LumberjackA2,……為甚麼要一個人來森林呢？
LumberjackA3,往大學的纜車停駛了。
LumberjackA4,要上去只能翻山越嶺。
LumberjackA5,很危險。我勸你還是回去。
LumberjackB0,我？我在斬柴。
LumberjackB1,入夜後山裡很冷，需要柴火。
LumberjackB2,你也別著涼了！
LumberjackC0,你為甚麼要去大學？
LumberjackC1,冬天的時候他們會找我斬柴。
LumberjackC2,若忽略大門繼續走，我留了柴在山壁裡。
LumberjackC3,有人不停堅持要將燒杯放在那兒。
LumberjackC4,真奇怪。
VO/Intro0,致親愛的色調，
VO/Intro1,噢，我運氣奇糟。
VO/Intro2,留下你一個人，我心如刀割。
VO/Intro3,背信棄義的灰博士想偷走我開發的環彩光戒。這戒指能觀察和改變色彩。
VO/Intro4,有人說色彩乃虛假，是虛色。哈！對灰博士來說確實是虛空。
VO/Intro5,總之，發生了意外。
VO/Intro6,我變成奇特的色彩，隱形了。
VO/Intro7,環彩光戒……碎了。色彩的碎片四散。
VO/Intro8,我在家待了數星期，看著、等著。
VO/Intro9,染上色彩的我無法跟你對話，也無法碰觸單色調的世事。
VO/Intro10,所以我走了。我會去大學找我私藏的自制色彩工具。
VO/Intro11,我祈求你能找到光戒的碎片。
VO/Aqua0,太古以來，我們指目天空，稱之曰藍。
VO/Aqua1,是人所共知的領域，是聯繫人與人的共同概念。
VO/Aqua2,但你眼中的藍，跟我的是一樣的嗎？
VO/Aqua3,也許，你所見的藍，其實只是一種灰。
VO/Aqua4,也許，世上所有人，都只見深深淺淺的灰。
VO/Aqua5,色調，看見了嗎？這……這是我們的價值。
VO/Water0,當你來這兒看瀑布時，你就會看到瀑布。
VO/Water1,但是若放下成見，就能找到源源不絕的驚喜，對嗎？
VO/Water2,所以，色調，我希望你能放下成見。
VO/Water3,將我從超現實帶回來的唯一指望……
VO/Water4,就是你不被現象蒙蔽，看透世事的潛力。
VO/Purple0,你知道嗎，色調？紫色是可見光譜的盡頭。
VO/Purple1,紫是肉眼最難分辨的色彩。
VO/Purple2,試想像一下……比紫更紫的色彩……
VO/Purple3,一種超越目視界限的色彩。
VO/Purple4,我們稱之曰，虛色……
VO/Purple5,而我恐怕……正是變成了虛色。
VO/Purple6,當真實建基於觀察，而你無法觀察我，那你說我還存在嗎？
VO/Purple7,我肯定我存在。畢竟你在讀我的信。最少，我希望你讀得到。
VO/Purple8,對不起，色調……當你身處虛無時……你會變得奇怪。
VO/Purple9,你會質疑……萬象的虛實。
VO/Orange0,當我首次遇見灰博士時，大學被踏實的橙光籠罩著。
VO/Orange1,夏日飛逝，秋日的乾冷殺我一個措手不及。
VO/Orange2,我坐在草坪上，左右是文獻，突然來一陣冷風將它們吹亂。
VO/Orange3,其中一頁逃離我的手，乘風起舞。
VO/Orange4,一名比我年紀稍大的男仕追著它，抓了三四次後終於成功。
VO/Orange5,還記得他物歸原主時展露的和藹笑容。
VO/Orange6,我們談了起來。他居然在大學學報上讀過我的研究！
VO/Orange7,他說他是一名教授，並……希望有天能跟我合作。
VO/Orange8,世事真奇妙……這樣一件小事……會影響深遠。
VO/Fire0,過不久，灰博士成了我的導師……我覺得是他的安排。
VO/Fire1,在一起時，我們的潛能得到最大發揮，彷彿無所不能。
VO/Fire2,我們對色彩的瞭解變得超乎想像。
VO/Fire3,我們分離光線、紀錄光譜、同繪影、同歡笑……我們日夜工作，向目標直奔。
VO/Fire4,我們是代行者。這項研究在我們之上，我們心知肚明。
VO/Pink0,真有趣。那次草坪相遇後的事，我記不清楚。
VO/Pink1,不過我知道我和灰博士常常在一起。
VO/Pink2,我會稱讚他的研究，而他則會兩頰差紅。哈！
VO/Pink3,然後他會尷尬地轉換話題。
VO/Pink4,雖然日夜苦幹……但我們都不覺得辛苦。
VO/Red0,你知道嗎，所有語言都必先有 黑 白 光 暗 這四字？
VO/Red1,接下來的首項色彩必然是……紅。血、酒、憤怒的色彩。
VO/Red2,我體會了這憤怒……當我，被告知說實驗太過火……
VO/Red3,當，灰博士他附和大學，徹底終止我的研究時。
VO/Red4,真滑稽。我們能言善辯，有筆墨紙硯，卻時而無法溝通。
VO/Red5,然後，人們會狗急跳牆。
VO/Red6,會偷、會砸、會捨本逐末。
VO/Temple0,一旦種子生根發芽，自然就會茁壯成長、開花結果。
VO/Temple1,知慧之種已經在我心裡發芽，我不打算讓它凋零。
VO/Temple2,大學說我的實驗不倫理。說改變色法太凶險。
VO/Temple3,他們心意已決。我的研究被沒收，合約被終止。
VO/Temple4,被逐出後，我的唯一選擇是撇下留戀，帶你遠走他鄉。
VO/Temple5,在距離大學一程船的地方有條小漁村，他們不知道我。
VO/Temple6,我們搬進一間小屋，你在那兒渡過了童年。
VO/Blue0,還記得我桌上的陳年宗卷嗎？那些遺落文明的遠古文書？
VO/Blue1,我一日復一日研讀它們，尋找能支持研究的證據。
VO/Blue2,在種種奇事異象中，有一件事格格不入……那就是藍。他們沒有藍。
VO/Blue3,有各種色彩的詳盡紀錄，獨缺藍。壓根兒沒有'藍'字。
VO/Blue4,他們認不出藍嗎？沒有字，能從何得知他們能否辨別藍色？
VO/Yellow0,春日將至，咱們的後院開出一株株黃色的水仙花。
VO/Yellow1,事過境遷，我也淡忘了曾經的憤怒。
VO/Yellow2,我在家裡繼續研究。失去灰博士的我進展緩慢，但有緩慢進展。
VO/Yellow3,有一天，當色調你在睡覺時……我看著你。
VO/Yellow4,我來到突破點，但見證人就只剩下你。
VO/Yellow5,我很興奮。為我，也為你。
VO/Tech0,為了研究，我經常接觸一個失落文明的事跡。
VO/Tech1,他們做出偉大的機器……遠比我們早發現、運用電力。
VO/Tech2,奇怪的是，他們不能感覺痛楚。
VO/Tech3,他們知道痛楚，能觀察痛楚，但無法體驗痛楚。
VO/Tech4,要向他們解釋痛楚﹐就好像我要解釋色彩……
VO/Tech5,……給只曉得黑白灰的人。
VO/Tech6,我在想，色調，我們真的能分享色彩的喜悅嗎。
VO/Lime0,當我第一次載上環彩色戒時，我瞥見了鮮艷的太陽。
VO/Lime1,青、紫、橙、桃、紅、藍、黃、綠。
VO/Lime2,我的現實大放異彩。
VO/Lime3,這是夢嗎？我還在生嗎？我的知覺，被黑白灰壓抑了一生的知覺，亂了陣腳。
VO/Lime4,時間停滯。萬千色彩緩緩起舞……尤如波洛克在月球上滴畫。
VO/Lime5,除下戒指的一刻，時間就恢復如常。
VO/Lime6,色彩褪隱、灰暗歸位。很震撼，但接下來更震撼。
VO/Lime7,恢復正常後，我依然記得色彩。我從沒見過色彩，就只看了一眼。
VO/Lime8,我從來都沒有過有色彩的記憶。
VO/TechEnd0,我越發體驗，就越發瞭解自己的無知。
VO/TechEnd1,知悉世界的真彩，未辨世界的真相。
VO/TechEnd2,下一目標一浪接一浪，無窮無盡。
VO/TechEnd3,這些新的色蘊……超脫我的狂想，卻多如繁星。
VO/TechEnd4,真的有真相嗎，色調？會不會，真相只是一種思想，如同色彩？
VO/TechEnd5,說不定有一天我會遇上三次元，哈！無法想像！
VO/Mountains0,樹立於林，卻無人知曉，那這樹還存在嗎？
VO/Mountains1,有色彩麼？有形體麼？這樣問有意義麼？
VO/Mountains2,這很不容易，色調。即使踏過了千迴百折……
VO/Mountains3,……我感覺沒有更接近真相。仿如追逐月亮……
VO/Mountains4,我覺得，如果真相只是一種思想，也許這就是我的盲點。
VO/Mountains5,一直以來你都是一個人，現在更被迫為我去冒險。
VO/Mountains6,所為何事？為讓我能窺探的更深？
VO/Mountains7,希望成果能值回票價。你我彼此。
VO/UniversityStart0,回到大學勾起了我的許多回憶，色調。
VO/UniversityStart1,我記得帶著你上課……你會乘我不留神爬到前面。
VO/UniversityStart2,灰博士會從講臺上向下望，瞬間脫下他的嚴肅和權威。
VO/UniversityStart3,他會抱起你，走過來，笑著將你歸還我的懷抱。
VO/UniversityStart4,愛是無法測量的，色調。它在心內，如同色彩。我埋沒了它。
VO/UniversityStart5,我自私地埋沒了愛。待一切完結時，希望你能辨明我的錯。
VO/UniversityStart6,愛你的 母親 上
VO/UniversityEnd0,親愛的色調，許久不見。你長大了許多。
VO/UniversityEnd1,你的媽媽……沒聽我的告誡。
VO/UniversityEnd2,我只好逐出她，以為能夠保護她……能夠保護你……
VO/UniversityEnd3,她不明白，有些人會選擇視而不見。
VO/UniversityEnd4,我沒有偷她的環彩色戒。我只是試圖摧毀它……免得它摧毀你的媽媽。
VO/UniversityEnd5,我現在知道她當時已經掌握了光戒，知道自己在做甚麼。
VO/UniversityEnd6,當戒指被擊碎時，你的媽媽的構成也遭到改變。
VO/UniversityEnd7,我的唯一救贖就是，讓你追隨她的足跡……體驗她的成果。
VO/UniversityEnd8,我們不是在看事物的真相，色調。我們是在看自己的。
VO/UniversityEnd9,你的媽媽……在等你。看見克服了重重困難的你，她應該會欣喜若狂。
VO/PS0,又及，雖然你無法拒絕發生在你身上的事，但你可以選擇你的角度。
VO/PS1,既然你現在能看見真彩，你得決定這是好是壞。
VO/PS2,你歷盡了千辛萬苦，我衷心希望是好的。
CreditKujuInvestmentDirector,
CreditKujuDevelopmentDirector,
CreditKujuHeadZoe,
CreditKujuHeadHeadstrong,
CreditKujuArtZoe,
CreditKujuCreativeHeadstrong,
CreditKujuCommercialDirector,
CreditKujuCEODirector,
CreditFabric,
CreditMastering,
CreditMother,
CreditDrGrey,
CreditOMUKProductionManager,
CreditOMUKDirector,
CreditOMUKRecordingEngineer,
CreditOMUKProductionAssistant,
ColoursUnlocked,已解鎖色彩
RegionsUnlocked,已解鎖區域
ProgressPercentage,進度
OverwriteCloudSave,這會覆寫目前的雲端存檔，確定嗎？
OverwriteLocalSave,這會覆寫目前的本地存檔，確定嗎？
